ANTUSDT,EGLDUSDT,ANTUSDT_perc,EGLDUSDT_perc,spread,zscore
1.878,42.75,1.1245508982035928,0.7301451750640479,0.3759472415099516,0.4329062372856018
1.808,42.24,1.0826347305389223,0.7214346712211785,0.3238664674007101,0.14147101225986863
1.795,43.64,1.0748502994011977,0.7453458582408199,0.261676435543726,-0.22468462627475902
1.791,42.75,1.0724550898203593,0.7301451750640479,0.28894724150995166,-0.26305340324638377
1.855,42.38,1.1107784431137724,0.7238257899231427,0.36594746421501156,0.11094681513523769
1.881,42.34,1.1263473053892217,0.7231426131511529,0.3933528936966397,0.19874834676172223
1.955,43.8,1.1706586826347307,0.7480785653287788,0.4160547176172138,0.3061147465589039
1.966,43.46,1.177245508982036,0.742271562766866,0.43900086821105244,0.42677431609281263
1.946,43.84,1.1652694610778442,0.7487617421007686,0.4056492881355853,0.0969741518258061
1.98,43.46,1.18562874251497,0.742271562766866,0.45300086821105245,0.4701513877105383
2.162,43.17,1.2946107784431138,0.7373185311699403,0.6451902319528562,2.0584547488160423
2.15,43.24,1.2874251497005988,0.7385140905209223,0.6307307303600072,1.6817138619754184
2.17,45.41,1.2994011976047903,0.7755764304013664,0.5744861809816819,1.082876294712025
2.256,44.2,1.3508982035928143,0.7549103330486764,0.7030004228009321,1.8899402919983639
2.154,45.37,1.2898203592814372,0.7748932536293766,0.55989161046331,0.754085395451989
2.255,45.27,1.3502994011976048,0.7731853116994023,0.6644051841673801,1.565663546300928
2.346,45.55,1.4047904191616767,0.7779675491033304,0.7455671777959838,1.9564577346874843
2.361,44.82,1.4137724550898205,0.7654995730145175,0.7862162658356968,1.9235387717709576
2.186,44.8,1.3089820359281437,0.7651579846285226,0.6119189805765108,0.7273002414363776
2.203,43.88,1.3191616766467065,0.7494449188727584,0.6612438586539571,0.9536294753740504
2.108,42.85,1.2622754491017965,0.7318531169940222,0.6024336678058815,0.5259625230825327
2.144,41.97,1.2838323353293415,0.7168232280102477,0.6693531164017001,0.8634986754680459
1.825,39.21,1.0928143712574852,0.6696840307429548,0.44732775063403984,-0.6075594927124953
1.862,39.2,1.1149700598802397,0.6695132365499574,0.4846791080044468,-0.47215472716656937
1.855,38.87,1.1107784431137724,0.6638770281810419,0.48927390122787884,-0.558784787167844
1.801,35.33,1.078443113772455,0.6034158838599487,0.559654410351967,-0.07684709982459394
1.935,35.84,1.158682634730539,0.6121263877028182,0.6757351844612085,0.8318148025473573
1.971,34.5,1.180239520958084,0.5892399658411615,0.7588170720957506,1.4306430997843695
2.004,35.06,1.2,0.598804440649018,0.7721410593529567,1.4095116940097694
2.099,34.87,1.2568862275449104,0.5955593509820666,0.8738168493906906,2.0642065793362026
2.1,34.65,1.25748502994012,0.591801878736123,0.8825467115396453,1.898598454582397
2.112,33.6,1.2646706586826348,0.573868488471392,0.931439235432383,1.9617341457794364
2.181,33.75,1.3059880239520958,0.5764304013663536,0.9951688748762777,2.045900030624405
2.138,33.95,1.280239520958084,0.5798462852263023,0.9451417274681368,1.5183976526831255
2.195,33.16,1.31437125748503,0.5663535439795047,1.0298989597302923,1.7858352479918886
2.205,33.19,1.3203592814371259,0.566865926558497,1.0388448876190715,1.621137469889146
2.189,33.0,1.3107784431137726,0.5636208368915457,1.0295206776568049,1.4030664088742728
2.235,32.79,1.3383233532934131,0.5600341588385995,1.0828991824353522,1.5011322099030027
2.198,32.95,1.3161676646706588,0.5627668659265586,1.0402774645088397,1.1858451351503423
2.075,33.37,1.2425149700598803,0.5699402220324509,0.9025204549517449,0.4747533761050793
