FLOWUSDT,1INCHUSDT,FLOWUSDT_perc,1INCHUSDT_perc,spread,zscore
2.07,0.6628,1.4081632653061225,0.9596061966121325,0.2817177722566675,-0.1981141459455897
2.05,0.6676,1.3945578231292517,0.9665556681627334,0.24876702588797683,-0.2908830951959182
1.97,0.712,1.3401360544217686,1.0308382800057911,0.04897262197759078,-1.2610006044107889
1.95,0.6875,1.3265306122448979,0.9953670189662661,0.09507538990111475,-0.9263353064982333
1.95,0.672,1.3265306122448979,0.9729260170841176,0.13689550838334408,-0.6151990411228466
1.92,0.6625,1.3061224489795917,0.95917185464022,0.13252719390471057,-0.5713583305283393
1.77,0.608,1.2040816326530612,0.8802663964094397,0.12957212663254958,-0.5198942473336876
1.86,0.63,1.2653061224489797,0.9121181410163602,0.1602145391093852,-0.2086366691940952
1.95,0.6376,1.3265306122448979,0.9231214709714781,0.22970919069229212,0.6625031582238173
2.11,0.6574,1.435374149659864,0.9517880411177067,0.33628736192144393,1.7598635138162415
2.11,0.6565,1.435374149659864,0.950485015201969,0.33871562686557355,1.711447851073622
2.12,0.6482,1.4421768707482994,0.9384682206457218,0.3711096257947675,1.861036941318886
2.1,0.6468,1.4285714285714286,0.9364412914434632,0.3548869268189687,1.5595822357125868
1.86,0.5932,1.2653061224489797,0.8588388591284204,0.25950359460267847,0.6522469486486329
1.87,0.6118,1.272108843537415,0.8857680613869987,0.21931945242400297,0.276378399143954
1.76,0.5911,1.1972789115646258,0.8557984653250326,0.16516954613898038,-0.22686493390602067
1.78,0.6156,1.2108843537414966,0.8912697263645578,0.11906677821545619,-0.6815157477086784
1.84,0.6274,1.251700680272109,0.9083538439264514,0.14722952672575929,-0.4667262731330671
1.65,0.571,1.1224489795918366,0.8266975532068915,0.10940079655787138,-0.9670006854824039
1.7,0.595,1.1564625850340136,0.8614449109598957,0.0946470647144193,-1.1061280477017186
1.68,0.5994,1.1428571428571428,0.8678152598812799,0.06277554720978618,-1.292526567812063
1.62,0.5614,1.1020408163265307,0.8127986101056899,0.1053022892952522,-0.7885690410247134
1.71,0.592,1.163265306122449,0.8571014912407702,0.11274128119485094,-0.6491928699398531
1.71,0.6077,1.163265306122449,0.8798320544375272,0.07038154828059251,-1.097579992296306
1.68,0.606,1.1428571428571428,0.877370783263356,0.044968270952837175,-1.2957573955405326
1.64,0.6005,1.1156462585034013,0.869407847111626,0.019807667833628084,-1.4143614765446337
1.66,0.625,1.129251700680272,0.904879108151151,-0.026295100089895884,-1.6495752310572287
1.65,0.607,1.1224489795918366,0.8788185898363978,0.012270198792693199,-1.2174837829986003
1.64,0.5853,1.1156462585034013,0.84740118720139,0.060818364667814206,-0.7590399926252024
1.69,0.5843,1.1496598639455782,0.8459533806283481,0.1135164368279582,-0.28068175017419533
1.69,0.5759,1.1496598639455782,0.8337918054147966,0.13618024297316644,-0.013491887725588321
1.68,0.5739,1.1428571428571428,0.8308961922687129,0.1315763872934541,0.03672372657999628
1.62,0.553,1.1020408163265307,0.8006370348921386,0.12796609544046023,0.1369368356785565
1.68,0.5725,1.1428571428571428,0.8288692630664544,0.13535368831765537,0.446761721808748
1.71,0.585,1.163265306122449,0.8469668452294773,0.1316277863158577,0.5651463128012413
1.7,0.5847,1.1564625850340136,0.8465325032575648,0.12243720796390067,0.5492516793565675
1.7,0.5742,1.1564625850340136,0.8313305342406255,0.15076696564541092,1.153448494941381
1.68,0.6133,1.1428571428571428,0.8879397712465614,0.02527234418378721,-1.2743418933449944
1.68,0.5995,1.1428571428571428,0.8679600405385841,0.06250573999377185,-0.47453649481828786
1.7,0.6071,1.1564625850340136,0.878963370493702,0.062000391576678915,-0.43940655296399567
