ANTUSDT,MKRUSDT,ANTUSDT_perc,MKRUSDT_perc,spread,zscore
1.862,553.3,1.1149700598802397,0.6004992402865205,0.6739877610101781,-0.38418216757466433
1.855,553.3,1.1107784431137724,0.6004992402865205,0.666987761010178,-0.5194734923938312
1.801,527.5,1.078443113772455,0.572498372042544,0.6683839579484345,-0.6025589745734684
1.935,557.0,1.158682634730539,0.6045148686780986,0.7390433451701954,-0.268067504231019
1.971,552.4,1.180239520958084,0.5995224658128934,0.7849201864847684,-0.052771401991945105
2.004,551.5,1.2,0.5985456913392664,0.8198526119593585,0.11580899828993273
2.099,553.2,1.2568862275449104,0.6003907097894509,0.9112024749517991,0.7155974099708361
2.1,550.0,1.25748502994012,0.5969177338832212,0.9190733210836759,0.7070032325057817
2.112,539.2,1.2646706586826348,0.5851964401996962,0.95426242677876,0.917528219381569
2.181,548.8,1.3059880239520958,0.595615367918385,1.0026498883831296,1.1952288591563276
2.138,542.0,1.280239520958084,0.5882352941176471,0.9742504364133677,0.8873059849041192
2.195,516.7,1.31437125748503,0.5607770783590189,1.0855730636435184,1.6227731861929588
2.205,520.0,1.3203592814371259,0.5643585847623183,1.0884875035700208,1.4642392228186136
2.189,523.3,1.3107784431137726,0.5679400911656175,1.065401943496523,1.2163773806397449
2.235,510.4,1.3383233532934131,0.5539396570436292,1.139100041965651,1.6070057568736635
2.198,513.0,1.3161676646706588,0.5567614499674408,1.096517479483501,1.307832292471967
2.075,511.5,1.2425149700598803,0.5551334925113958,0.9767381886078186,0.5153956621490503
2.074,504.5,1.2419161676646706,0.5475363577165183,0.9907681645212989,0.5747473605878818
2.18,518.5,1.3053892215568863,0.5627306273062731,1.0667082126943381,0.9637786056500297
2.151,526.8,1.2880239520958083,0.5717386585630562,1.0198869555397825,0.6223520734730907
